csv,LINK,lang,attribution_url,attribution_name,license,file_name,download_from
kokuseityousaonrainkaitou.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/tokei/kokusei27.html,越前市情報統計課,,kokuseityousa,
tochiriyougenkyoumenseki.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0104tochiriyougenkyoumenseki,http://linkdata.org/work/rdf1s2656i
0814toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,814toukeinennkann,
cyugakkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,cyugakkou,http://linkdata.org/work/rdf1s1720i
gomipt.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gomipt,http://linkdata.org/work/rdf1s1578i
0528syugiin18-19sai.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0528syugiin18-19sai,
gomisyusyubipt.csv,,si,,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gomisyusyubipt,http://linkdata.org/work/rdf1s1581i
syougaisyashisetsu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,syougaisyashisetsu,http://linkdata.org/work/rdf1s1584i
0408toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0408toukeinennkann,
kyotakukaigo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kyotakukaigo,http://linkdata.org/work/rdf1s1580i
0131sieizyuutaku.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/publicdomain/zero/1.0/deed.ja,shiei_list,http://linkdata.org/work/rdf1s8280i
kaigohokenryo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kaigohokenryo,http://linkdata.org/work/rdf1s1691i
gaikokujintourokushasu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0216gaikokujintourokushasu,http://linkdata.org/work/rdf1s2628i
kishoujoukyou_echizenshi.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kishoujoukyou_echizenshi,http://linkdata.org/work/rdf1s2630i
tochimenseki_souchiseki.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0105tochimenseki_souchiseki,http://linkdata.org/work/rdf1s2651i
0507toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0507toukeinenkan,
juminkihondaichoujinkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0212juminkihondaichoujinkou,http://linkdata.org/work/rdf1s2638i
jinkoudoutai_shizenzougen.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0210jinkoudoutai_shizenzougen,http://linkdata.org/work/rdf1s2643i
freespot.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,freespot,http://linkdata.org/work/rdf1s1883i
opendata_echizen_city.csv,,,,,,,
0508toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0508toukeinenkan,
echizenshinokeisei.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,echizenshinokeisei,http://linkdata.org/work/rdf1s2626i
youchien.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,youchien,http://linkdata.org/work/rdf1s1576i
shisetsuyoyaku.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,shisetsuyoyaku,http://linkdata.org/work/rdf1s1884i
jinkoudoutai_soukatsu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0210jinkoudoutai_soukatsu,http://linkdata.org/work/rdf1s2646i
gaisyutsushien.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gaisyutsushien,http://linkdata.org/work/rdf1s1708i
roudousyafukushishisetsu.csv,,ja,,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,roudousyafukushishisetsu,http://linkdata.org/work/rdf1s1663i
1105toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,jisyubousaisoshiki,
100701toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,1007toukeinenkan,
syokujiservice.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,syokujiservice,http://linkdata.org/work/rdf1s1690i
0528shityokekka.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0528shityokekka,
variety.csv,,,,,,,
160710jikanbetsu.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,160710jikanbetsutouhyou,
ippankaikeisaisyutsu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1204ippankaikeisaisyutsuuchiwake,http://linkdata.org/work/rdf1s4370i
1008toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,1008toukeinenkan,
hyoukachiseki.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0105tochimenseki_hyoukachiseki,http://linkdata.org/work/rdf1s2652i
160710shinyuukensya.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,160710shinyuukensya,
0603toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0603toukeinenkan,
kouikihinanjyo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kouikihinanjyo,http://linkdata.org/work/rdf1s1586i
kodomofukushi1.csv,,ja,,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kodomofukushi1,http://linkdata.org/work/rdf1s1574i
ehizencitykouhou.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28.html,越前市情報統計課,,echizencitykouhou,
gomijp.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,gomijp,http://linkdata.org/work/rdf1s1578i
0916toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0916toukeinenkan,
zaimushihyoujyoukyou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1206zaimushihyoujyoukyou,http://linkdata.org/work/rdf1s4371i
shuruibetsusetaisu.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0206shuruibetsusetaisu,http://linkdata.org/work/rdf1s2648i
0528shityozyoukyo.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0528shityozyoukyo,
0528syugiinkekka.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0528syugiinkekka,
180524variety_s.csv,,,,,,,
syougaisyayoutoilet.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,koukyoushisetsusyougaisyayoutoilet,http://linkdata.org/work/rdf1s1585i
kouikihinanjyopt.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,kouikihinanjyopt,http://linkdata.org/work/rdf1s1586i
160710touhyoujyo.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,160710touhyoujyo,
chisanchisyounomise.csv,,ja,,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,chisanchisyounomise,http://linkdata.org/work/rdf1s1664i
1211toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,1211toukeinenkan,
jikannbetsutouhyou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,jikannbetsutouhyoujyoukyou,http://linkdata.org/work/rdf1s1670i
chukanjinkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0209chukanjinkou,http://linkdata.org/work/rdf1s2653i
0605toukeinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,0605toukeinenkan,
100702touekinenkan.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,1007toukeinenkan,
event.csv,,ja,http://www.city.echizen.lg.jp/,越前市,http://creativecommons.org/licenses/by/3.0/deed.ja,event,http://linkdata.org/work/rdf1s1946i
syougakkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,syougakkou,http://linkdata.org/work/rdf1s1718i
nenreibetsujinkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0204shichoubetsunenreibetsujinkou,http://linkdata.org/work/rdf1s2637i
echizennshicyounaidenwa.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,echizennshicyounaidennwabangou,http://linkdata.org/work/rdf1s1681i
160710sangiingiin.csv,http://linkdata.org/upload,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,,160710echizenshisangiingiin,
honsekijinkou.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0215honsekijinkou,http://linkdata.org/work/rdf1s2660i
jinkoushuchuchiku.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,0207jinkoushuchuchiku,http://linkdata.org/work/rdf1s2642i
senkyo.csv,,ja,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,越前市情報統計課,http://creativecommons.org/licenses/by/3.0/deed.ja,1210senkyo,http://linkdata.org/work/rdf1s4374i
